event_id,expected_answer_date,meeting_date,approved_date,name,party,mp_area,item_text,flag,topic_area,action,notes
S6W-28411,2024-07-25T00:00:00Z,NA,2024-06-27T15:53:05Z,Mark Ruskell,Scottish Green Party,Mid Scotland and Fife,"To ask the Scottish Government what policy measures it is considering to encourage people in Scotland to eat more plant-based meals, as illustrated in the Eatwell Guide.",FALSE,cph,information,
S6W-28410,2024-07-25T00:00:00Z,NA,2024-06-27T15:53:05Z,Mark Ruskell,Scottish Green Party,Mid Scotland and Fife,"To ask the Scottish Government, in light of the Climate Change Committee's recommendation in the publication, Progress in reducing emissions in Scotland, 2023 Report to Parliament, whether it has further investigated the emissions reduction potential of dietary choices in Scotland, particularly in relation to meat and dairy consumption reduction.",FALSE,cph,information,
